Year,Oil_discoveries_backdated,Oil_discoveries_cumulative_backdated,Oil_production_backdated,Oil_production_cumulative_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Oil_Discoveries_Adjusted,Oil_Cumulative_Discoveries_Adjusted,Oil_Reserves_Fixed,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Gas_Discoveries_Adjusted,Gas_Cumulative_Discoveries_Adjusted,Gas_Reserves_Fixed,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves,Coal_Discoveries_Adjusted,Coal_Cumulative_Discoveries_Adjusted,Coal_Reserves_Fixed
1910,17.679567956899998,107.61481365299998,1.9511639157,12.169596196999999,95.445217456,17.679567956899998,107.61481364079998,1.85,14.23,93.38481364079998,1.85,4178.2180110291165,4163.988011029117,0.0,3.02002,0.5673204,4.519573376,-1.4995533760000002,0.5673204,2747.9285270119613,2743.408953635961,0.0,0.0,29.02,262.39,-262.39,0.0,0.0,0.0
1911,16.1422142186,123.75702783499999,1.964111184,14.133707380999999,109.62332045399998,16.1422142186,123.75702785939998,1.95,16.18,107.57702785939998,1.95,4180.168011029116,4163.988011029117,0.0913901045037345,3.111410104503735,0.597475188,5.117048564,-2.0056384594962653,0.597475188,2748.526002199961,2743.408953635961,0.0,0.0,29.54,291.93,-291.93,0.0,0.0,0.0
1912,12.298829881999998,136.05585771699998,1.964111184,16.097818565,119.958039152,12.298829881999998,136.0558577414,1.99,18.17,117.8858577414,1.99,4182.158011029116,4163.988011029117,5.1854612970724725,8.296871401576208,0.627629976,5.74467854,2.5521928615762084,0.627629976,2749.1536321759613,2743.408953635961,0.0,0.0,31.0,322.93,-322.93,0.0,0.0,0.0
1913,9.2241224115,145.279980159,1.964111184,18.061929748999997,127.21805041,9.2241224115,145.27998015289998,2.19,20.36,124.91998015289998,2.19,4184.348011029116,4163.988011029117,0.3467042732937802,8.643575674869988,0.657784764,6.402463303999999,2.2411123708699883,0.657784764,2749.8114169399614,2743.408953635961,0.0,0.0,33.22,356.15,-356.15,0.0,0.0,0.0
1914,13.8361836203,159.116163761,1.964111184,20.026040932999997,139.090122828,13.8361836203,159.1161637732,2.26,22.62,136.49616377319998,2.26,4186.608011029116,4163.988011029117,1.4782071976788551,10.121782872548843,0.687939516,7.09040282,3.031380052548844,0.687939516,2750.4993564559613,2743.408953635961,0.0,0.0,29.81,385.96,-385.96,0.0,0.0,0.0
1915,12.298829881999998,171.41499364299997,1.9965666487999998,22.0226075818,149.392386049,12.298829881999998,171.4149936552,2.42,25.04,146.3749936552,2.42,4189.028011029116,4163.988011029117,1.4172804613430323,11.539063333891876,0.718094304,7.808497124,3.730566209891877,0.718094304,2751.217450759961,2743.408953635961,0.0,0.0,29.34,415.3,-415.3,0.0,0.0,0.0
1916,18.448244823,189.86323846599998,2.9449481606999997,24.967555742499997,164.895682754,18.448244823,189.8632384782,2.6,27.64,162.22323847820002,2.6,4191.628011029116,4163.988011029117,6.92247824242885,18.461541576320727,0.748249128,8.556746252,9.904795324320729,0.748249128,2751.9656998879614,2743.408953635961,0.0,0.0,31.47,446.77,-446.77,0.0,0.0,0.0
1917,11.530153015899998,201.393391488,3.0748928739,28.042448616399998,173.350942896,11.530153015899998,201.3933914941,2.87,30.51,170.8833914941,2.87,4194.498011029116,4163.988011029117,0.0304633681679115,18.49200494448864,0.778403916,9.335150168,9.156854776488638,0.778403916,2752.7441038039615,2743.408953635961,0.0,0.0,32.77,479.54,-479.54,0.0,0.0,0.0
1918,9.6084608476,211.00185235999996,3.0748928739,31.117341490299996,179.88451082699999,9.6084608476,211.0018523417,2.85,33.36,177.64185234169997,2.85,4197.348011029117,4163.988011029117,0.4218301045037346,18.91383504899237,0.808558704,10.143708872,8.770126176992372,0.808558704,2753.5526625079615,2743.408953635961,0.0,0.0,32.19,511.73,-511.73,0.0,0.0,0.0
1919,16.9108910908,227.91274346299997,3.0783953108999995,34.1957368012,193.717006613,16.9108910908,227.9127434325,3.25,36.61,191.3027434325,3.25,4200.598011029117,4163.988011029117,0.0913901045037345,19.005225153496102,0.838713492,10.982422364,8.022802789496106,0.838713492,2754.3913759999614,2743.408953635961,0.0,0.0,27.3,539.03,-539.03,0.0,0.0,0.0
1920,20.7542754274,248.66701886599998,3.9162001036999996,38.1119369049,210.55508195499996,20.7542754274,248.6670188599,4.16,40.77,207.8970188599,4.16,4204.7580110291165,4163.988011029117,2.098694530195201,21.103919683691306,0.86886828,11.851290644,9.252629039691309,0.86886828,2755.260244279961,2743.408953635961,0.0,0.0,31.29,570.3199999999999,-570.3199999999999,0.0,0.0,0.0
1921,14.604860486399998,263.271879328,4.1338545696999995,42.2457914746,221.02608789,14.604860486399998,263.27187934629995,4.5,45.27,218.0018793463,4.5,4209.2580110291165,4163.988011029117,0.0689403607362441,21.17286004442755,0.899023032,12.750313676,8.422546368427552,0.899023032,2756.1592673119612,2743.408953635961,0.0,0.0,26.13,596.4499999999999,-596.4499999999999,0.0,0.0,0.0
1922,15.7578757886,279.029755141,5.1214402143,47.3672316889,231.662523446,15.7578757886,279.0297551349,5.03,50.3,228.7297551349,5.03,4214.288011029116,4163.988011029117,1.1533028942868129,22.326162938714365,0.95971014,13.710023816,8.616139122714365,0.95971014,2757.118977451961,2743.408953635961,0.0,0.0,27.58,624.03,-624.03,0.0,0.0,0.0
1923,21.5229522935,300.552707404,6.0441255493999995,53.4113572383,247.14135018399998,21.5229522935,300.5527074284,5.94,56.24,244.3127074284,5.94,4220.228011029116,4163.988011029117,0.034470180368122,22.36063311908249,1.124447292,14.834471108,7.526162011082487,1.124447292,2758.243424743961,2743.408953635961,0.0,0.0,32.12,656.15,-656.15,0.0,0.0,0.0
1924,10.761476149799998,311.314183566,6.1733891793,59.5847464176,251.72943718499997,10.761476149799998,311.3141835782,5.93,62.17,249.1441835782,5.93,4226.158011029116,4163.988011029117,0.034470180368122,22.395103299450607,1.289184408,16.123655516,6.271447783450608,1.289184408,2759.532609151961,2743.408953635961,0.0,0.0,31.28,687.43,-687.43,0.0,0.0,0.0
1925,19.9855985613,331.29978217,6.1733891793,65.758135603,265.541646567,19.9855985613,331.29978213949994,6.22,68.39,262.90978213949995,6.22,4232.378011029116,4163.988011029117,3.857409056191973,26.25251235564258,1.45392156,17.577577076,8.674935279642579,1.45392156,2760.9865307119608,2743.408953635961,0.0,0.0,31.36,718.79,-718.79,0.0,0.0,0.0
1926,103.00270027699999,434.30248244699993,6.295171787499999,72.05330736,362.249175026,103.002700277,434.3024824164999,6.38,74.77,359.5324824165,6.38,4238.7580110291165,4163.988011029117,0.1040003636020387,26.35651271924462,1.61865864,19.196235716,7.16027700324462,1.61865864,2762.6051893519607,2743.408953635961,0.0,0.0,31.22,750.01,-750.01,0.0,0.0,0.0
1927,136.055805562,570.358288009,7.255788227999999,79.30909558799999,491.04919236,136.055805562,570.3582879784999,7.28,82.05,488.3082879784999,7.28,4246.038011029116,4163.988011029117,2.8661563422732814,29.2226690615179,1.783395828,20.979631544,8.243037517517902,1.783395828,2764.3885851799605,2743.408953635961,0.0,0.0,33.64,783.65,-783.65,0.0,0.0,0.0
1928,211.38613863499998,781.7444264,7.3648946763,86.67399030699998,695.0704365199999,211.386138635,781.7444266134999,7.65,89.7,692.0444266134998,7.65,4253.688011029116,4163.988011029117,2.219605432035812,31.442274493553715,1.94813316,22.927764704,8.514509789553713,1.94813316,2766.3367183399605,2743.408953635961,0.0,0.0,33.04,816.6899999999999,-816.6899999999999,0.0,0.0,0.0
1929,38.4338433843,820.1782700099999,8.205907696999999,94.879898004,725.2983722499999,38.4338433843,820.1782699977998,8.57,98.27,721.9082699977998,8.57,4262.258011029116,4163.988011029117,0.5789309018406104,32.021205395394325,2.0685816,24.996346304,7.024859091394326,2.0685816,2768.4052999399605,2743.408953635961,0.0,0.0,35.14,851.8299999999999,-851.8299999999999,0.0,0.0,0.0
1930,121.4509451,941.6292151099999,8.3403095338,103.22020755,838.4090075599998,121.4509451,941.6292150977998,8.18,106.45000000000002,835.1792150977998,8.18,4270.438011029116,4163.988011029117,0.823255608937817,32.84446100433214,2.168638344,27.164984648,5.679476356332138,2.168638344,2770.5739382839606,2743.408953635961,0.0,0.0,32.11,883.9399999999999,-883.9399999999999,0.0,0.0,0.0
1931,18.063906393,959.6931213199998,8.260878395999999,111.48108594600001,848.2120357399999,18.063906393,959.6931214908,7.91,114.36,845.3331214907998,7.91,4278.348011029116,4163.988011029117,0.0513751217875634,32.895836126119704,2.2716864,29.436671048,3.459165078119703,2.2716864,2772.8456246839605,2743.408953635961,0.0,0.0,28.32,912.26,-912.26,0.0,0.0,0.0
1932,34.5904590477,994.2835806299998,7.569102180299999,119.05018810799999,875.2333924,34.5904590477,994.2835805385,7.55,121.91,872.3735805384999,7.55,4285.898011029116,4163.988011029117,5.385685039176529,38.28152116529623,2.374734384,31.811405432,6.4701157332962325,2.374734384,2775.2203590679605,2743.408953635961,0.0,0.0,25.18,937.44,-937.44,0.0,0.0,0.0
1933,16.1422142186,1010.42579469,8.2010585935,127.251246671,883.17454808,16.1422142186,1010.4257947571,8.24,130.15,880.2757947570999,8.24,4294.138011029116,4163.988011029117,0.12758,38.40910116529624,2.47778244,34.289187872,4.119913293296236,2.47778244,2777.6981415079604,2743.408953635961,0.0,0.0,26.36,963.8,-963.8,0.0,0.0,0.0
1934,26.1350135023,1036.56080854,9.3558630013,136.60710971499998,899.95369852,26.1350135023,1036.5608082594,8.7,138.85,897.7108082593999,8.7,4302.8380110291155,4163.988011029117,0.0,38.40910116529624,2.580830424,36.870018296,1.5390828692962373,2.580830424,2780.2789719319603,2743.408953635961,0.0,0.0,28.77,992.57,-992.57,0.0,0.0,0.0
1935,24.597659763999996,1061.15846806,9.520635987799999,146.127745654,915.0307226499999,24.597659764,1061.1584680233998,9.46,148.31,912.8484680233998,9.46,4312.2980110291155,4163.988011029117,0.1395501566185023,38.54865132191474,2.68387848,39.553896776,-1.0052454540852551,2.68387848,2782.9628504119605,2743.408953635961,0.0,0.0,30.0,1022.57,-1022.57,0.0,0.0,0.0
1936,123.75697567999998,1184.91544374,10.5610253735,156.688771058,1028.22667256,123.75697567999998,1184.9154437034,10.3,158.61,1026.3054437033998,10.3,4322.598011029116,4163.988011029117,6.512332468802907,45.06098379071765,2.786926464,42.34082323999999,2.720160550717658,2.786926464,2785.7497768759604,2743.408953635961,0.0,0.0,32.96,1055.53,-1055.53,0.0,0.0,0.0
1937,65.337533771,1250.25297745,11.5211842591,168.209955311,1082.0430222,65.337533771,1250.2529774743998,11.73,170.34,1079.9129774744,11.73,4334.328011029115,4163.988011029117,6.659247334765565,51.72023112548322,2.9898774,45.33070063999999,6.389530485483228,2.9898774,2788.73965427596,2743.408953635961,0.0,0.0,34.63,1090.16,-1090.16,0.0,0.0,0.0
1938,311.31413141099995,1561.5671088,11.733130949,179.94308625999997,1381.62402254,311.31413141099995,1561.5671088853996,11.45,181.79,1379.7771088853997,11.45,4345.778011029115,4163.988011029117,3.982093493888772,55.70232461937199,3.17501388,48.50571451999999,7.196610099371995,3.17501388,2791.91466815596,2743.408953635961,0.0,0.0,32.31,1122.47,-1122.47,0.0,0.0,0.0
1939,26.903690368399996,1588.4707995099998,12.682421116899999,192.62550738299998,1395.8452917,26.9036903684,1588.4707992537997,11.93,193.72,1394.7507992537996,11.93,4357.708011029115,4163.988011029117,0.2303302435751268,55.93265486294711,3.40309836,51.90881287999999,4.023841982947118,3.40309836,2795.31776651596,2743.408953635961,0.0,0.0,34.13,1156.6,-1156.6,0.0,0.0,0.0
1940,147.20162015399998,1735.67241942,12.808286192799999,205.43379358800001,1530.23862571,147.20162015399998,1735.6724194077997,12.31,206.03,1529.6424194077997,12.31,4370.018011029116,4163.988011029117,0.738043308989957,56.67069817193707,3.63118284,55.53999571999999,1.1307024519370756,3.63118284,2798.94894935596,2743.408953635961,0.0,0.0,37.64,1194.2400000000002,-1194.2400000000002,0.0,0.0,0.0
1941,78.405040513,1814.07745975,12.838079336999998,218.271872925,1595.8055871299998,78.405040513,1814.0774599208,12.68,218.71,1595.3674599207995,12.68,4382.698011029116,4163.988011029117,2.278425138808913,58.94912331074598,3.85926732,59.39926304,-0.4501397292540119,3.85926732,2802.80821667596,2743.408953635961,0.0,0.0,39.02,1233.2600000000002,-1233.2600000000002,0.0,0.0,0.0
1942,103.77137713699999,1917.84883707,12.849576000899999,231.121448932,1686.7273882599998,103.771377137,1917.8488370577995,11.94,230.65,1687.1988370577994,11.94,4394.638011029116,4163.988011029117,0.1439840102827193,59.093107321028704,4.0873518,63.48661484,-4.39350751897129,4.0873518,2806.89556847596,2743.408953635961,0.0,0.0,39.69,1272.9500000000005,-1272.9500000000005,0.0,0.0,0.0
1943,18.448244823,1936.29708171,13.776957982199997,244.898406902,1691.3986749299997,18.448244823,1936.2970818808,12.85,243.5,1692.7970818807996,12.85,4407.488011029116,4163.988011029117,5.969118389687322,65.06222571071602,4.31543628,67.80205111999999,-2.7398254092839665,4.31543628,2811.21100475596,2743.408953635961,0.0,0.0,40.79,1313.7400000000002,-1313.7400000000002,0.0,0.0,0.0
1944,52.2700270046,1988.5671088000001,15.847924976799998,260.74633189099995,1727.8207769699998,52.2700270046,1988.5671088854,14.75,258.25,1730.3171088853996,14.75,4422.238011029116,4163.988011029117,6.735831962792062,71.79805767350808,4.54352076,72.34557188,-0.5475142064919112,4.54352076,2815.75452551596,2743.408953635961,0.0,0.0,39.16,1352.9000000000003,-1352.9000000000003,0.0,0.0,0.0
1945,80.326732663,2068.89384128,15.995037835,276.74136972599996,1792.1524719200002,80.326732663,2068.8938415483995,14.74,272.99,1795.9038415483994,14.74,4436.978011029116,4163.988011029117,0.3348957439998953,72.13295341750798,4.77160524,77.11717712,-4.984223702492017,4.77160524,2820.52613075596,2743.408953635961,0.0,0.0,31.42,1384.3200000000004,-1384.3200000000004,0.0,0.0,0.0
1946,34.9747974777,2103.86863902,16.0474118982,292.788781612,1811.0798575299998,34.9747974777,2103.8686390261,15.68,288.67,1815.1986390260995,15.68,4452.658011029116,4163.988011029117,1.0051095738668367,73.13806299137481,5.02698996,82.14416707999999,-9.006104088625179,5.02698996,2825.5531207159597,2743.408953635961,0.0,0.0,33.83,1418.1500000000003,-1418.1500000000003,0.0,0.0,0.0
1947,27.672367234499998,2131.54100598,17.877359639499996,310.666141221,1820.8748648199999,27.6723672345,2131.5410062606,17.27,305.94,1825.6010062606,17.27,4469.9280110291165,4163.988011029117,4.858819242235839,77.99688223361065,5.56156044,87.70572751999998,-9.708845286389334,5.56156044,2831.1146811559597,2743.408953635961,0.0,0.0,38.01,1456.1600000000003,-1456.1600000000003,0.0,0.0,0.0
1948,890.71844675,3022.25945273,20.0433887108,330.709529944,2691.5499230299997,890.71844675,3022.2594530106,19.54,325.48,2696.7794530106,19.54,4489.4680110291165,4163.988011029117,1.18081911298284,79.1777013465935,6.28766532,93.99339283999998,-14.81569149340649,6.28766532,2837.40234647596,2743.408953635961,0.0,0.0,39.28,1495.4400000000005,-1495.4400000000005,0.0,0.0,0.0
1949,124.52565253999998,3146.7851052699993,20.3613879206,351.070917889,2795.7141879299998,124.52565253999998,3146.7851055506,19.43,344.91,2801.8751055506,19.43,4508.898011029117,4163.988011029117,29.54809829408369,108.72579964067718,6.71871312,100.71210596,8.013693680677193,6.71871312,2844.1210595959597,2743.408953635961,0.0,0.0,37.35,1532.7900000000002,-1532.7900000000002,0.0,0.0,0.0
1950,62.26282626999999,3209.04793154,22.6499107381,373.720828621,2835.32710298,62.26282626999999,3209.0479318206,21.8,366.71,2842.3379318206,21.8,4530.698011029117,4163.988011029117,8.050022814691655,116.77582245536884,7.69188168,108.40398763999998,8.371834815368857,7.69188168,2851.8129412759595,2743.408953635961,0.0,0.0,40.8,1573.59,-1573.59,0.0,0.0,0.0
1951,270.958595834,3480.00652774,25.3635421103,399.084370713,3080.9221572099996,270.958595834,3480.0065276546,24.72,391.43000000000006,3088.5765276546,24.72,4555.418011029117,4163.988011029117,37.10893852834135,153.88476098371018,9.12423348,117.52822111999998,36.3565398637102,9.12423348,2860.9371747559594,2743.408953635961,0.0,0.0,42.98,1616.5700000000002,-1616.5700000000002,0.0,0.0,0.0
1952,46.889288929699994,3526.89581681,26.7481685077,425.83253923899997,3101.06327751,46.8892889297,3526.8958165843,25.99,417.4200000000001,3109.4758165842995,25.99,4581.408011029117,4163.988011029117,14.77657157131184,168.66133255502203,9.82665612,127.35487723999998,41.30645531502205,9.82665612,2870.7638308759592,2743.408953635961,0.0,0.0,42.73,1659.3000000000002,-1659.3000000000002,0.0,0.0,0.0
1953,234.446444618,3761.3422609399995,28.817925213499997,454.6504644219999,3306.69179664,234.446444618,3761.3422612023,27.48,444.9000000000001,3316.4422612022995,27.48,4608.888011029117,4163.988011029117,4.259291449027344,172.92062400404936,10.390842,137.74571923999997,35.17490476404939,10.390842,2881.154672875959,2743.408953635961,0.0,0.0,42.92,1702.2200000000005,-1702.2200000000005,0.0,0.0,0.0
1954,107.614761498,3868.9570225599996,30.4031151274,485.05357958599996,3383.90344334,107.614761498,3868.9570227003,28.77,473.6700000000001,3395.2870227002995,28.77,4637.658011029117,4163.988011029117,2.5105858692659,175.43120987331525,10.89935316,148.64507239999998,26.78613747331528,10.89935316,2892.054026035959,2743.408953635961,0.0,0.0,42.37,1744.59,-1744.59,0.0,0.0,0.0
1955,143.742574284,4012.69959721,34.3657115139,519.419291106,3493.2803058599998,143.742574284,4012.6995969843,32.24,505.9100000000001,3506.7895969843,32.24,4669.898011029117,4163.988011029117,1.9874216296354748,177.41863150295072,11.8568268,160.50189919999997,16.91673230295075,11.8568268,2903.910852835959,2743.408953635961,0.0,0.0,46.04,1790.63,-1790.63,0.0,0.0,0.0
1956,169.87758776799998,4182.577184489999,36.3321425706,555.75143364,3626.8257508499996,169.87758776799998,4182.577184752299,35.09,541.0000000000001,3641.577184752299,35.09,4704.988011029117,4163.988011029117,25.63770072915908,203.0563322321098,12.85829928,173.36019847999998,29.69613375210983,12.85829928,2916.769152115959,2743.408953635961,0.0,0.0,48.65,1839.28,-1839.28,0.0,0.0,0.0
1957,241.36453647999997,4423.94172097,38.484005233699996,594.2354388919999,3829.7062822,241.36453648,4423.941721232299,36.97,577.9700000000001,3845.9717212322985,36.97,4741.958011029117,4163.988011029117,20.42659883875073,223.48293107086053,13.97057688,187.33077536,36.15215571086054,13.97057688,2930.739728995959,2743.408953635961,0.0,0.0,50.02,1889.3,-1889.3,0.0,0.0,0.0
1958,322.07560757299996,4746.01732897,39.9345038963,634.1699427699999,4111.8473862,322.075607573,4746.017328805298,37.9,615.8700000000001,4130.1473288052985,37.9,4779.858011029117,4163.988011029117,8.48342822657129,231.9663592974318,15.0265692,202.35734456,29.609014737431806,15.0265692,2945.766298195959,2743.408953635961,0.0,0.0,51.6,1940.9,-1940.9,0.0,0.0,0.0
1959,149.123312304,4895.14064103,43.105703960599996,677.27564645,4217.86499458,149.123312304,4895.1406411092985,40.9,656.7700000000001,4238.370641109298,40.9,4820.7580110291165,4163.988011029117,10.44847965165788,242.4148389490897,16.7748336,219.13217816,23.282660789089704,16.7748336,2962.541131795959,2743.408953635961,0.0,0.0,53.48,1994.38,-1994.38,0.0,0.0,0.0
1960,327.45634565399996,5222.596987049999,45.871117817999995,723.1467643899999,4499.45022205,327.456345654,5222.596986763298,44.07,700.8400000000001,4521.756986763298,44.07,4864.828011029116,4163.988011029117,26.20037440559526,268.6152133546849,18.26036532,237.39254348,31.222669874684957,18.26036532,2980.8014971159587,2743.408953635961,0.0,0.0,55.71,2050.09,-2050.09,0.0,0.0,0.0
1961,283.257425716,5505.854412399999,49.2390705092,772.38583507,4733.46857733,283.257425716,5505.854412479299,46.91,747.7500000000001,4758.104412479299,46.91,4911.738011029116,4163.988011029117,8.739711015278239,277.3549243699632,19.61796456,257.01050804,20.344416329963224,19.61796456,3000.4194616759587,2743.408953635961,0.0,0.0,52.49,2102.58,-2102.58,0.0,0.0,0.0
1962,279.798379846,5785.65279249,53.6434537898,826.02928875,4959.62350374,279.798379846,5785.652792325299,50.88,798.6300000000001,4987.022792325299,50.88,4962.618011029116,4163.988011029117,22.704033162488336,300.0589575324516,21.46318056,278.4736886,21.585268932451527,21.46318056,3021.882642235959,2743.408953635961,0.0,0.0,53.75,2156.33,-2156.33,0.0,0.0,0.0
1963,172.95229520799998,5958.605087819999,58.222346187599996,884.25163484,5074.35345237,172.95229520799998,5958.6050875332985,54.59,853.2200000000001,5105.385087533298,54.59,5017.208011029116,4163.988011029117,6.564396349724783,306.62335388217633,23.4846144,301.958303,4.665050882176331,23.4846144,3045.3672566359587,2743.408953635961,0.0,0.0,55.38,2211.71,-2211.71,0.0,0.0,0.0
1964,415.854185408,6374.459270299999,62.644454409,946.89608931,5427.563183429999,415.854185408,6374.459272941299,58.96,912.1800000000002,5462.279272941299,58.96,5076.168011029116,4163.988011029117,17.685272360381177,324.3086262425575,25.65938304,327.61768604,-3.309059797442501,25.65938304,3071.026639675959,2743.408953635961,0.0,0.0,57.83,2269.54,-2269.54,0.0,0.0,0.0
1965,293.634563448,6668.0938357,66.450149066,1013.34623862,5654.74759769,293.634563448,6668.093836389299,65.63,977.8100000000002,5690.283836389299,65.63,5141.798011029116,4163.988011029117,36.63034472162085,360.9389709641784,27.49854744,355.11623348,5.82273748417839,27.49854744,3098.525187115959,2743.408953635961,0.0,0.0,58.97,2328.51,-2328.51,0.0,0.0,0.0
1966,149.123312304,6817.217150199999,72.89789432799999,1086.2441330699999,5730.97301591,149.123312304,6817.217148693299,71.27,1049.0800000000002,5768.137148693299,71.27,5213.068011029117,4163.988011029117,138.51837614941832,499.4573471135967,29.5885368,384.70477028,114.75257683359672,29.5885368,3128.113723915959,2743.408953635961,0.0,0.0,59.79,2388.3,-2388.3,0.0,0.0,0.0
1967,189.863186311,7007.0803334,78.711336092,1164.95546904,5842.12486619,189.863186311,7007.0803350043,76.46,1125.5400000000002,5881.5403350043,76.46,5289.528011029117,4163.988011029117,189.3054373780141,688.7627844916108,31.842486,416.54725628,272.2155282116108,31.842486,3159.956209915959,2743.408953635961,0.0,0.0,57.67,2445.97,-2445.97,0.0,0.0,0.0
1968,321.306930713,7328.3872682,84.607974536,1249.5634432099998,6078.82382194,321.306930713,7328.3872657173,83.41,1208.9500000000005,6119.437265717299,83.41,5372.938011029117,4163.988011029117,44.49787333008141,733.2606578216921,34.8320628,451.37931908,281.8813387416921,34.8320628,3194.788272715959,2743.408953635961,0.0,0.0,59.27,2505.24,-2505.24,0.0,0.0,0.0
1969,239.058505839,7567.4457741,93.384630441,1342.9480741999998,6224.497699899999,239.058505839,7567.445771556299,89.79,1298.7400000000002,6268.705771556299,89.79,5462.728011029117,4163.988011029117,102.46508704728969,835.7257448689818,38.2527288,489.63204788,346.0936969889818,38.2527288,3233.041001515959,2743.408953635961,0.0,0.0,60.47,2565.71,-2565.71,0.0,0.0,0.0
1970,125.29432946099999,7692.7401035,100.69272025199999,1443.6407943299998,6249.0993049,125.294329461,7692.7401010173,98.76,1397.5000000000002,6295.2401010173,98.76,5561.488011029117,4163.988011029117,43.80103445416327,879.5267793231451,35.139222,524.77126988,354.7555094431451,35.139222,3268.180223515959,2743.408953635961,0.0,0.0,62.89,2628.5999999999995,-2628.5999999999995,0.0,0.0,0.0
